,,Initial (AGL),Initial,Final (AGL),Final,Conjunct (AGL),Conjunct,Initial Unicode,Halant Unicode,Final Unicode,,Name (AGL),Name,Prod. Name,Notes,GlyphData.xml,
gujarati,uni,K,k,Ya,ya,KYa,k_ya,0A95,0ACD,0AAF,0A950ACD0AAF,gjKYa,k_ya-gujarati,uni0A950ACD0AAF,Composite,"<glyph name=""k_ya-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AAF"" altnames=""gjKYa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,Ra,ra,KRa,k_ra,0A95,0ACD,0AB0,0A950ACD0AB0,gjKRa,k_ra-gujarati,uni0A950ACD0AB0,Composite,"<glyph name=""k_ra-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AB0"" altnames=""gjKRa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,La,la,KLa,k_la,0A95,0ACD,0AB2,0A950ACD0AB2,gjKLa,k_la-gujarati,uni0A950ACD0AB2,Composite,"<glyph name=""k_la-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AB2"" altnames=""gjKLa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,LLa,lla,KLLa,k_lla,0A95,0ACD,0AB3,0A950ACD0AB3,gjKLLa,k_lla-gujarati,uni0A950ACD0AB3,/,,
gujarati,uni,K,k,Va,va,KVa,k_va,0A95,0ACD,0AB5,0A950ACD0AB5,gjKVa,k_va-gujarati,uni0A950ACD0AB5,Composite,"<glyph name=""k_va-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AB5"" altnames=""gjKVa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,SHa,sha,KSHa,k_sha,0A95,0ACD,0AB6,0A950ACD0AB6,gjKSHa,k_sha-gujarati,uni0A950ACD0AB6,Composite,"<glyph name=""k_sha-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AB6"" altnames=""gjKSHa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,SSa,ssa,KSSa,k_ssa,0A95,0ACD,0AB7,0A950ACD0AB7,gjKSSa,k_ssa-gujarati,uni0A950ACD0AB7,Composite,"<glyph name=""k_ssa-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AB7"" altnames=""gjKSSa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,Sa,sa,KSa,k_sa,0A95,0ACD,0AB8,0A950ACD0AB8,gjKSa,k_sa-gujarati,uni0A950ACD0AB8,Composite,"<glyph name=""k_sa-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AB8"" altnames=""gjKSa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,Ha,ha,KHa,k_ha,0A95,0ACD,0AB9,0A950ACD0AB9,gjKHa,k_ha-gujarati,uni0A950ACD0AB9,Composite,"<glyph name=""k_ha-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0AB9"" altnames=""gjKHa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
,,,,,,,_,,,,,gj,_-,,,,
gujarati,uni,KH,kh,Ka,ka,KHKa,kh_ka,0A96,0ACD,0A95,0A960ACD0A95,gjKHKa,kh_ka-gujarati,uni0A960ACD0A95,Composite,"<glyph name=""kh_ka-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A960ACD0A95"" altnames=""gjKHKa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,KH,kh,KHa,kha,KHKHa,kh_kha,0A96,0ACD,0A96,0A960ACD0A96,gjKHKHa,kh_kha-gujarati,uni0A960ACD0A96,Half form,,
gujarati,uni,KH,kh,Ga,ga,KHGa,kh_ga,0A96,0ACD,0A97,0A960ACD0A97,gjKHGa,kh_ga-gujarati,uni0A960ACD0A97,/,,
gujarati,uni,KH,kh,GHa,gha,KHGHa,kh_gha,0A96,0ACD,0A98,0A960ACD0A98,gjKHGHa,kh_gha-gujarati,uni0A960ACD0A98,/,,
gujarati,uni,KH,kh,NGa,nga,KHNGa,kh_nga,0A96,0ACD,0A99,0A960ACD0A99,gjKHNGa,kh_nga-gujarati,uni0A960ACD0A99,/,,
gujarati,uni,KH,kh,Ca,ca,KHCa,kh_ca,0A96,0ACD,0A9A,0A960ACD0A9A,gjKHCa,kh_ca-gujarati,uni0A960ACD0A9A,/,,
gujarati,uni,KH,kh,CHa,cha,KHCHa,kh_cha,0A96,0ACD,0A9B,0A960ACD0A9B,gjKHCHa,kh_cha-gujarati,uni0A960ACD0A9B,/,,
gujarati,uni,KH,kh,Ja,ja,KHJa,kh_ja,0A96,0ACD,0A9C,0A960ACD0A9C,gjKHJa,kh_ja-gujarati,uni0A960ACD0A9C,/,,
gujarati,uni,KH,kh,JHa,jha,KHJHa,kh_jha,0A96,0ACD,0A9D,0A960ACD0A9D,gjKHJHa,kh_jha-gujarati,uni0A960ACD0A9D,/,,
gujarati,uni,KH,kh,NYa,nya,KHNYa,kh_nya,0A96,0ACD,0A9E,0A960ACD0A9E,gjKHNYa,kh_nya-gujarati,uni0A960ACD0A9E,/,,
gujarati,uni,KH,kh,TTa,tta,KHTTa,kh_tta,0A96,0ACD,0A9F,0A960ACD0A9F,gjKHTTa,kh_tta-gujarati,uni0A960ACD0A9F,Half form,,
gujarati,uni,KH,kh,TTHa,ttha,KHTTHa,kh_ttha,0A96,0ACD,0AA0,0A960ACD0AA0,gjKHTTHa,kh_ttha-gujarati,uni0A960ACD0AA0,/,,
gujarati,uni,KH,kh,DDa,dda,KHDDa,kh_dda,0A96,0ACD,0AA1,0A960ACD0AA1,gjKHDDa,kh_dda-gujarati,uni0A960ACD0AA1,/,,
gujarati,uni,KH,kh,DDHa,ddha,KHDDHa,kh_ddha,0A96,0ACD,0AA2,0A960ACD0AA2,gjKHDDHa,kh_ddha-gujarati,uni0A960ACD0AA2,/,,
gujarati,uni,KH,kh,NNa,nna,KHNNa,kh_nna,0A96,0ACD,0AA3,0A960ACD0AA3,gjKHNNa,kh_nna-gujarati,uni0A960ACD0AA3,Half form,,
gujarati,uni,KH,kh,Ta,ta,KHTa,kh_ta,0A96,0ACD,0AA4,0A960ACD0AA4,gjKHTa,kh_ta-gujarati,uni0A960ACD0AA4,Half form,,
gujarati,uni,KH,kh,THa,tha,KHTHa,kh_tha,0A96,0ACD,0AA5,0A960ACD0AA5,gjKHTHa,kh_tha-gujarati,uni0A960ACD0AA5,/,,
gujarati,uni,KH,kh,Da,da,KHDa,kh_da,0A96,0ACD,0AA6,0A960ACD0AA6,gjKHDa,kh_da-gujarati,uni0A960ACD0AA6,Half form,,
gujarati,uni,KH,kh,DHa,dha,KHDHa,kh_dha,0A96,0ACD,0AA7,0A960ACD0AA7,gjKHDHa,kh_dha-gujarati,uni0A960ACD0AA7,/,,
gujarati,uni,KH,kh,Na,na,KHNa,kh_na,0A96,0ACD,0AA8,0A960ACD0AA8,gjKHNa,kh_na-gujarati,uni0A960ACD0AA8,Composite,"<glyph name=""kh_na-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A960ACD0AA8"" altnames=""gjKHNa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,KH,kh,Pa,pa,KHPa,kh_pa,0A96,0ACD,0AAA,0A960ACD0AAA,gjKHPa,kh_pa-gujarati,uni0A960ACD0AAA,Half form,,
